,Pre-Shift,,,,,,,,,,,,,,,,,Pre-Shift + ANNUALIZATION,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + HEP C ADJ,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + Hep C adj + LIFT,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + Hep C adj + Lift + INCREMENTAL BRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPL,,,,,,,,,,,,,,,,,PPL,,,,,,,,,,,,,,,,,PPL,,,,,,,,,,,,,,,,,PPL,,,,,,,,,,,,,,,,,PPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPL,,,,,,PPL,,,,,,,,,,,,
,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,,,,,,,,,,,,,,Rejection Rate Adj,,,,,,340B Rejection Rate,,,,,,,,,,,,
,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,,,,,,,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,
Retail 30,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Retail 90,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Mail,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Specialty,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Total,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPA,,,,,,,,,,,,,,,,,PPA,,,,,,,,,,,,,,,,,PPA,,,,,,,,,,,,,,,,,PPA,,,,,,,,,,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPA,,,,,,PPA,,,,,,,,,,,,
,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,,,,,,,,,,,,,,Rejection Rate Adj,,,,,,340B Rejection Rate,,,,,,,,,,,,
,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,,,,,,,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,
Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Rebates,,,,,,,,,,,,,,,,,Total Rebates,,,,,,,,,,,,,,,,,Total Rebates,,,,,,,,,,,,,,,,,Total Rebates,,,,,,,,,,,,,,,,,Total Rebates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
